Attr,Top 3 Highest,Top 3 Lowest
Sh,"Top 1: Erling Haaland(Team: Manchester City)
Top 2: Ollie Watkins(Team: Aston Villa)
Top 3: Mohamed Salah(Team: Liverpool)","Top 1 from bottom: Tyler Adams(Team: Bournemouth)
Top 2 from bottom: : Tayo Adaramola(Team: Crystal Palace)
Top 3 from bottom: : Val Adedokun(Team: Brentford)"
SoT,"Top 1: Erling Haaland(Team: Manchester City)
Top 2: Phil Foden(Team: Manchester City)
Top 3: Ollie Watkins(Team: Aston Villa)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tayo Adaramola(Team: Crystal Palace)"
SoT%,"Top 1: Bénie Traoré(Team: Sheffield Utd)
Top 2: Tim Ream(Team: Fulham)
Top 3: Chris Mepham(Team: Bournemouth)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tayo Adaramola(Team: Crystal Palace)"
Sh/90,"Top 1: Donny van de Beek(Team: Manchester Utd)
Top 2: Andrey Santos(Team: Nott'ham Forest)
Top 3: Philippe Coutinho(Team: Aston Villa)","Top 1 from bottom: Tyler Adams(Team: Bournemouth)
Top 2 from bottom: : Tayo Adaramola(Team: Crystal Palace)
Top 3 from bottom: : Val Adedokun(Team: Brentford)"
SoT/90,"Top 1: Aymeric Laporte(Team: Manchester City)
Top 2: Hamed Junior Traorè(Team: Bournemouth)
Top 3: Philippe Coutinho(Team: Aston Villa)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tayo Adaramola(Team: Crystal Palace)"
G/Sh,"Top 1: Tim Ream(Team: Fulham)
Top 2: Hannibal Mejbri(Team: Manchester Utd)
Top 3: George Earthy(Team: West Ham)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tayo Adaramola(Team: Crystal Palace)"
G/SoT,"Top 1: Micky van de Ven(Team: Tottenham)
Top 2: Alejo Véliz(Team: Tottenham)
Top 3: Kenny Tete(Team: Fulham)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tayo Adaramola(Team: Crystal Palace)"
Dist,"Top 1: Oliver Norwood(Team: Sheffield Utd)
Top 2: Kyle Walker(Team: Manchester City)
Top 3: Moisés Caicedo(Team: Chelsea)","Top 1 from bottom: Tyler Adams(Team: Bournemouth)
Top 2 from bottom: : Tayo Adaramola(Team: Crystal Palace)
Top 3 from bottom: : Val Adedokun(Team: Brentford)"
FK,"Top 1: James Ward-Prowse(Team: West Ham)
Top 2: Julián Álvarez(Team: Manchester City)
Top 3: Eberechi Eze(Team: Crystal Palace)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
PK,"Top 1: Cole Palmer(Team: Chelsea)
Top 2: Erling Haaland(Team: Manchester City)
Top 3: Bukayo Saka(Team: Arsenal)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
